Date,Dry Bulb Temperature,Dew Point Temperature,Apparent Temperature,Relative Humidity,Wind Direction,Average Wind Speed,Wind Gust,Mean Sea Level Pressure,Rainfall
2016-02-10,19.9875,19.720833333333328,14.27916666666666,70.16250000000001,194.6895833333333,14.077083333333329,16.656249999999996,1015.4499999999997,0.0
2016-02-11,20.324999999999996,19.304166666666664,13.829166666666671,66.65416666666665,161.40416666666667,18.660416666666674,21.8125,1016.1604166666665,0.0
2016-02-12,20.41041666666667,20.689583333333342,14.893749999999999,71.14375,185.02553191489363,11.929166666666667,13.889583333333334,1014.3666666666668,0.0
2016-02-13,22.13541666666667,21.918750000000003,14.972916666666672,66.025,121.95416666666667,21.052083333333332,24.05416666666666,1008.1770833333334,0.0
2016-02-14,19.806521739130442,18.24565217391304,11.43478260869565,59.38913043478261,215.1369565217391,20.741304347826084,24.44130434782609,1011.4913043478265,0.0
2016-02-15,19.747916666666665,18.314583333333335,10.024999999999997,55.44791666666666,249.13958333333335,18.02083333333333,21.535416666666666,1011.8520833333337,0.0
2016-02-16,16.539583333333336,13.164583333333335,8.174999999999997,58.45833333333334,205.78333333333333,27.5,31.997916666666672,1015.8375000000001,2.3
2016-02-17,17.15416666666667,15.427083333333341,12.210416666666665,73.02083333333333,207.46249999999998,26.518749999999997,31.081250000000008,1014.739583333333,0.6
2016-02-18,18.633333333333333,18.36458333333333,13.81458333333333,74.37916666666665,198.36250000000004,14.299999999999995,16.65625,1011.2312500000002,1.1
2016-02-19,17.719148936170217,17.29574468085106,13.197872340425532,75.49787234042553,208.77608695652177,15.295744680851065,17.844680851063824,1013.6425531914895,0.2
2016-02-20,17.735416666666666,15.008333333333335,8.391666666666664,54.6625,185.46666666666667,19.766666666666662,23.525000000000002,1021.8270833333332,0.0
2016-02-21,18.789361702127657,18.168085106382986,12.093617021276593,66.28297872340426,212.8744680851064,12.291489361702132,14.28510638297872,1023.0170212765955,0.0
2016-02-22,20.98723404255319,21.614893617021277,14.112765957446813,68.04255319148935,110.38478260869567,12.165957446808513,13.953191489361705,1021.1936170212767,0.0
2016-02-23,27.94791666666667,26.862499999999997,13.408333333333331,46.13749999999999,77.425,27.168749999999992,32.03125,1011.7354166666669,0.0
2016-02-24,23.34166666666667,23.902083333333334,16.458333333333336,65.83125,139.30851063829786,16.727083333333336,19.42916666666666,1010.3895833333332,0.2
2016-02-25,21.77499999999999,22.71875,17.037500000000005,75.71041666666667,182.03125,15.31875,17.88958333333333,1010.4937499999997,0.4
2016-02-26,19.172916666666662,17.891666666666666,11.666666666666666,62.393750000000004,212.42291666666665,18.185416666666665,21.37708333333333,1018.7833333333333,0.0
2016-02-27,19.45957446808511,18.640425531914893,13.042553191489366,66.59574468085107,187.65744680851063,15.878723404255318,18.52127659574468,1020.5085106382976,0.0
2016-02-28,19.39777777777778,18.3,12.395555555555555,64.30444444444446,180.83333333333334,17.695555555555554,21.16,1020.5888888888888,0.0
2016-02-29,19.502127659574466,19.14255319148936,14.500000000000005,73.44468085106382,184.3063829787234,16.063829787234038,18.655319148936172,1020.3446808510639,0.0
2016-03-01,23.956249999999997,23.312500000000004,13.397916666666667,58.97708333333335,123.35106382978724,16.852083333333333,19.489583333333332,1016.1625000000003,0.0
2016-03-02,22.962500000000006,22.172916666666662,12.672916666666664,56.681250000000006,117.26458333333333,18.852083333333336,21.547916666666662,1016.1416666666664,0.0
2016-03-03,20.38723404255319,19.8063829787234,14.131914893617024,68.07446808510639,182.31702127659577,15.340425531914894,17.63404255319149,1020.317021276596,0.2
2016-03-04,22.93617021276596,24.414893617021278,16.491489361702126,69.31489361702128,161.25106382978723,16.542553191489358,19.289361702127657,1016.5170212765958,1.2
2016-03-05,21.23958333333333,22.3125,17.472916666666666,79.53125000000001,193.26666666666665,13.364583333333336,15.214583333333337,1019.5208333333331,1.2
2016-03-06,20.641666666666666,21.26875,16.164583333333336,75.83125,183.9872340425532,12.245833333333332,14.252083333333337,1019.8291666666668,0.0
2016-03-07,21.12127659574468,22.32553191489362,17.959574468085112,82.81702127659572,177.2063829787234,15.219148936170217,17.857446808510634,1020.272340425532,3.2
2016-03-08,28.573913043478267,28.926086956521743,15.817391304347819,55.16956521739131,94.07826086956523,19.150000000000006,22.032608695652176,1016.8152173913044,0.6
2016-03-09,25.65869565217392,24.997826086956525,15.306521739130435,58.19565217391305,103.45,24.23695652173913,28.05652173913044,1016.117391304348,0.0
2016-03-10,19.58297872340426,21.417021276595747,17.927659574468088,90.51063829787235,177.04255319148936,9.95531914893617,11.204255319148938,1020.012765957447,8.4
2016-03-11,22.200000000000003,24.61063829787234,19.527659574468085,85.68510638297872,187.20454545454547,10.272340425531915,11.936170212765957,1017.3595744680849,8.4
2016-03-12,20.445833333333336,22.029166666666665,17.989583333333332,86.08541666666666,196.22391304347823,11.816666666666665,13.354166666666671,1020.6583333333333,0.2
2016-03-13,19.79375,20.45625,16.72708333333333,82.93958333333332,184.375,12.65625,14.522916666666667,1020.3333333333336,0.0
2016-03-14,19.010638297872344,18.159574468085108,13.474468085106379,70.76170212765956,194.36170212765958,18.5531914893617,21.25744680851064,1020.923404255319,0.0
2016-03-15,20.1,18.768085106382976,12.997872340425532,64.85744680851066,179.7659574468085,14.417021276595742,16.810638297872337,1019.6297872340425,0.0
2016-03-16,22.627083333333342,22.833333333333332,13.945833333333333,61.256249999999994,100.13829787234044,12.1625,14.149999999999999,1016.7729166666669,0.0
2016-03-17,26.495833333333337,24.71666666666667,13.387500000000005,46.068749999999994,20.46875,32.36041666666667,37.68125,1008.9625,0.0
2016-03-18,18.222916666666663,16.162499999999998,11.645833333333334,67.72708333333335,200.62291666666667,32.80416666666667,39.26041666666668,1001.3166666666671,11.7
2016-03-19,14.960416666666662,12.468750000000002,8.691666666666668,66.86875000000002,211.63958333333332,22.02291666666667,25.502083333333335,1015.8000000000001,5.8
2016-03-20,16.670833333333334,15.077083333333334,8.541666666666666,60.962499999999984,156.17083333333332,12.614583333333334,14.72291666666667,1020.2104166666668,0.2
2016-03-21,16.991666666666667,15.662500000000001,10.485416666666667,67.74583333333334,219.84583333333333,16.13958333333333,18.643749999999997,1020.7020833333336,0.0
2016-03-22,17.39166666666667,17.204166666666662,11.912500000000001,72.84166666666668,200.4666666666667,10.547916666666666,11.893749999999997,1018.5687499999996,0.0
2016-03-23,19.8,18.73125,11.147916666666669,61.69791666666666,146.56458333333333,18.65625,21.218750000000004,1016.9020833333334,0.0
2016-03-24,18.88085106382978,18.98723404255319,14.234042553191491,74.71489361702127,178.61521739130438,10.200000000000001,11.476595744680848,1020.2617021276598,0.0
